"","X","r_st_neo","r_st_relict","ID","lat","lon","r","r_neo","r_relict"
"1",1,0.959,0,26456,11.1667,-74,27,2,0
"2",2,0.745,0,26457,11.1667,-73.7333,24,1,0
"3",3,0.736,0,26458,11.1667,-73.4667,25,1,0
"4",4,0.745,0,26459,11.1667,-73.2,23,1,0
"5",5,0.763,0,26460,11.1667,-72.9333,23,1,0
"6",6,0.819,0,26462,11.1667,-72.4,18,1,0
"7",7,0.983,0,26495,10.9,-74,43,3,0
"8",8,0.9,0,26496,10.9,-73.7333,40,2,0
"9",9,0.9,0,26497,10.9,-73.4667,36,2,0
"10",10,0.892,0,26498,10.9,-73.2,39,2,0
"11",11,0.52,0,26499,10.9,-72.9333,41,1,0
"12",12,0.987,0,26539,10.6333,-74,38,3,0
"13",13,0.926,0,26540,10.6333,-73.7333,36,2,0
"14",14,0.937,0,26541,10.6333,-73.4667,36,2,0
"15",15,0.698,0,26542,10.6333,-73.2,29,1,0
"16",16,0,0.648,26567,10.6333,-66.2667,30,0,1
"17",17,0,0.658,26575,10.6333,-62.8,29,0,1
"18",18,0,0.641,26576,10.6333,-62.5333,30,0,1
"19",19,0,0.664,26577,10.6333,-62.2667,29,0,1
"20",20,0.941,0,26599,10.3667,-74,32,2,0
"21",21,0.682,0,26600,10.3667,-73.7333,30,1,0
"22",22,0.937,0,26601,10.3667,-73.4667,34,2,0
"23",23,0.843,0,26603,10.3667,-72.9333,49,2,0
"24",24,0,0.748,26617,10.3667,-69.2,21,0,1
"25",25,0,0.597,26618,10.3667,-68.9333,35,0,1
"26",26,0,0.571,26619,10.3667,-68.6667,34,0,1
"27",27,0,0.595,26620,10.3667,-68.4,34,0,1
"28",28,0,0.581,26621,10.3667,-68.1333,34,0,1
"29",29,0,0.616,26622,10.3667,-67.8667,33,0,1
"30",30,0,0.6,26623,10.3667,-67.6,34,0,1
"31",31,0,0.6,26624,10.3667,-67.3333,34,0,1
"32",32,0,0.605,26625,10.3667,-67.0667,34,0,1
"33",33,0,0.575,26626,10.3667,-66.8,34,0,1
"34",34,0,0.574,26627,10.3667,-66.5333,34,0,1
"35",35,0.974,0,26658,10.1,-74,27,2,0
"36",36,0.736,0,26659,10.1,-73.7333,26,1,0
"37",37,0.844,0,26662,10.1,-72.9333,48,2,0
"38",38,0,0.566,26675,10.1,-69.2,36,0,1
"39",39,0,0.508,26676,10.1,-68.9333,40,0,1
"40",40,0,0.586,26677,10.1,-68.6667,35,0,1
"41",41,0,0.575,26678,10.1,-68.4,35,0,1
"42",42,0,0.561,26679,10.1,-68.1333,35,0,1
"43",43,0,0.655,26680,10.1,-67.8667,30,0,1
"44",44,0,0.599,26681,10.1,-67.6,33,0,1
"45",45,0,0.614,26682,10.1,-67.3333,33,0,1
"46",46,0,0.585,26683,10.1,-67.0667,34,0,1
"47",47,0,0.59,26684,10.1,-66.8,34,0,1
"48",48,0,0.604,26685,10.1,-66.5333,34,0,1
"49",49,0,0.582,26686,10.1,-66.2667,34,0,1
"50",50,0,0.62,26687,10.1,-66,31,0,1
"51",51,0.578,0,26728,9.8333,-72.9333,38,1,0
"52",52,0,0.899,26735,9.8333,-70.2667,39,0,2
"53",53,0,0.837,26736,9.8333,-70,47,0,2
"54",54,0,0.92,26737,9.8333,-69.7333,37,0,2
"55",55,0,0.89,26738,9.8333,-69.4667,37,0,2
"56",56,0.665,0,26792,9.5667,-73.2,30,1,0
"57",57,0,0.894,26800,9.5667,-70.5333,37,0,2
"58",58,0,0.905,26801,9.5667,-70.2667,40,0,2
"59",59,0,0.807,26802,9.5667,-70,48,0,2
"60",60,0,0.914,26803,9.5667,-69.7333,37,0,2
"61",61,0,0.881,26804,9.5667,-69.4667,37,0,2
"62",62,0.696,0,26865,9.3,-73.2,30,1,0
"63",63,0,0.887,26873,9.3,-70.8,40,0,2
"64",64,0,0.888,26874,9.3,-70.5333,40,0,2
"65",65,0,0.87,26875,9.3,-70.2667,40,0,2
"66",66,0,0.817,26876,9.3,-70,46,0,2
"67",67,0,0.903,26877,9.3,-69.7333,36,0,2
"68",68,0.667,0,26942,9.0333,-73.4667,32,1,0
"69",69,0,0.753,26951,9.0333,-71.0667,54,0,2
"70",70,0,0.841,26952,9.0333,-70.8,48,0,2
"71",71,0,0.745,26953,9.0333,-70.5333,54,0,2
"72",72,0,0.789,26954,9.0333,-70.2667,51,0,2
"73",73,0,0.508,26955,9.0333,-70,42,0,1
"74",74,0.758,0,27024,8.7667,-73.4667,23,1,0
"75",75,0,0.781,27032,8.7667,-71.3333,52,0,2
"76",76,0,0.838,27033,8.7667,-71.0667,46,0,2
"77",77,0,0.849,27034,8.7667,-70.8,44,0,2
"78",78,0,0.799,27035,8.7667,-70.5333,51,0,2
"79",79,0,0.512,27036,8.7667,-70.2667,42,0,1
"80",80,0.765,0,27105,8.5,-74.2667,23,1,0
"81",81,0.765,0,27106,8.5,-74,23,1,0
"82",82,0.755,0,27108,8.5,-73.4667,23,1,0
"83",83,0.767,0,27109,8.5,-73.2,23,1,0
"84",84,0,0.547,27114,8.5,-71.8667,40,0,1
"85",85,0,0.824,27115,8.5,-71.6,47,0,2
"86",86,0,0.782,27116,8.5,-71.3333,51,0,2
"87",87,0,0.729,27117,8.5,-71.0667,54,0,2
"88",88,0,0.798,27118,8.5,-70.8,51,0,2
"89",89,0,0.616,27119,8.5,-70.5333,34,0,1
"90",90,0.776,0,27188,8.2333,-74.5333,22,1,0
"91",91,0.782,0,27189,8.2333,-74.2667,23,1,0
"92",92,0.717,0,27190,8.2333,-74,25,1,0
"93",93,0.765,0,27193,8.2333,-73.2,23,1,0
"94",94,0.542,0,27194,8.2333,-72.9333,42,1,0
"95",95,0,0.766,27198,8.2333,-71.8667,52,0,2
"96",96,0,0.791,27199,8.2333,-71.6,52,0,2
"97",97,0,0.769,27200,8.2333,-71.3333,52,0,2
"98",98,0,0.768,27201,8.2333,-71.0667,55,0,2
"99",99,0,0.512,27202,8.2333,-70.8,40,0,1
"100",100,0.721,0,27268,7.9667,-74.5333,26,1,0
"101",101,0.737,0,27269,7.9667,-74.2667,26,1,0
"102",102,0.706,0,27270,7.9667,-74,27,1,0
"103",103,0.724,0,27272,7.9667,-73.4667,27,1,0
"104",104,0.937,0,27273,7.9667,-73.2,30,2,0
"105",105,0.675,0.981,27274,7.9667,-72.9333,63,2,4
"106",106,0,0.931,27276,7.9667,-72.4,53,0,3
"107",107,0.294,0.986,27277,7.9667,-72.1333,62,1,4
"108",108,0,0.734,27278,7.9667,-71.8667,56,0,2
"109",109,0,0.747,27279,7.9667,-71.6,55,0,2
"110",110,0,0.815,27280,7.9667,-71.3333,51,0,2
"111",111,0,0.428,27281,7.9667,-71.0667,45,0,1
"112",112,0.796,0,27352,7.7,-73.4667,20,1,0
"113",113,0.745,0,27353,7.7,-73.2,26,1,0
"114",114,0.649,0.976,27354,7.7,-72.9333,66,2,4
"115",115,0.377,0.925,27355,7.7,-72.6667,55,1,3
"116",116,0.336,0.944,27356,7.7,-72.4,58,1,3
"117",117,0.365,0.94,27357,7.7,-72.1333,55,1,3
"118",118,0,0.871,27358,7.7,-71.8667,42,0,2
"119",119,0,0.557,27359,7.7,-71.6,37,0,1
"120",120,0.755,0,27422,7.4333,-75.8667,25,1,0
"121",121,0.799,0,27431,7.4333,-73.4667,20,1,0
"122",122,0.737,0,27432,7.4333,-73.2,25,1,0
"123",123,0.777,0.995,27433,7.4333,-72.9333,55,2,4
"124",124,0.349,0.989,27434,7.4333,-72.6667,58,1,4
"125",125,0.32,0.991,27435,7.4333,-72.4,58,1,4
"126",126,0.299,0.918,27436,7.4333,-72.1333,60,1,3
"127",127,0.739,0,27499,7.1667,-75.8667,25,1,0
"128",128,0.755,0,27508,7.1667,-73.4667,24,1,0
"129",129,0.753,0,27509,7.1667,-73.2,24,1,0
"130",130,0.763,0.937,27510,7.1667,-72.9333,56,2,3
"131",131,0.428,0.996,27511,7.1667,-72.6667,49,1,4
