sp;class;humid lowland;cloud forest;humid higland;paramo_puna;arid shrubland
Oreotrochilus cyanolaemus;young;0;0;0;1;0
Heliangelus micraster;young;0;1;0;0;0
Metallura eupogon;young;0;0;1;0;0
Metallura theresiae;young;0;0;1;0;0
Coeligena helianthea;young;0;1;1;0;0
Metallura baroni;young;0;0;1;0;0
Amazilia castaneiventris;young;1;0;0;0;0
Oreotrochilus chimborazo;young;0;0;0;1;0
Aglaeactis pamela;young;0;0;1;0;0
Aglaeactis castelnaudii;young;0;0;1;0;0
Coeligena orina;young;0;0;1;0;0
Metallura odomae;young;0;0;1;0;0
Chaetocercus astreans;young;1;1;1;0;0
Chaetocercus berlepschi;young;1;0;0;0;0
Lepidopyga lilliae;young;1;0;0;0;0
Ocreatus peruanus;old;1;1;0;0;0
Ocreatus addae;old;1;1;0;0;0
Hylonympha macrocerca;old;0;1;0;0;0
Sternoclyta cyanopectus;old;1;1;0;0;0
Oreonympha nobilis;old;0;0;0;0;1
Heliangelus mavors;old;0;1;1;0;0
Heliangelus strophianus;old;1;1;0;0;0
Eriocnemis mirabilis;old;0;1;0;0;0
Heliodoxa imperatrix;old;1;1;0;0;0
Chalcostigma heteropogon;old;0;0;0;1;0
Coeligena prunellei;old;0;1;0;0;0
Loddigesia mirabilis;old;0;1;1;0;0
Heliangelus regalis;old;0;0;1;0;0
Urochroa bougueri;old;0;1;0;0;0
Urochroa leucura;old;0;1;0;0;0
