Species_name;Min elevation;max elevation
Abeillia abeillei;1000;2300
Adelomyia melanogenys;900;2900
Aglaeactis aliciae;3000;4300
Aglaeactis castelnaudii;2600;4200
Aglaeactis cupripennis;2500;4600
Aglaeactis pamela;3000;3500
Aglaiocercus berlepschi;1450;1800
Aglaiocercus coelestis;800;2300
Aglaiocercus kingi;900;3000
Amazilia amabilis;0;1400
Amazilia amazilia;0;2700
Amazilia beryllina;0;3100
Amazilia boucardi;0;10
Amazilia candida;0;1600
Amazilia castaneiventris;150;2500
Amazilia chionogaster;0;3500
Amazilia chionopectus;0;500
Amazilia cyanifrons;400;2200
Amazilia cyanocephala;0;2500
Amazilia cyanura;0;1800
Amazilia decora;0;1800
Amazilia edward;0;1800
Amazilia fimbriata;0;1740
Amazilia franciae;300;2750
Amazilia lactea;0;2300
Amazilia leucogaster;0;250
Amazilia luciae;75;1220
Amazilia rosenbergi;0;800
Amazilia rutila;0;1700
Amazilia saucerrottei;0;2000
Amazilia tobaci;0;2500
Amazilia tzacatl;0;2000
Amazilia versicolor;0;950
Amazilia violiceps;0;2500
Amazilia viridicauda;900;2800
Amazilia viridifrons;0;1550
Amazilia viridigaster;0;2100
Amazilia yucatanensis;0;1250
Androdon aequatorialis;300;2400
Anopetia gounellei;400;970
Anthocephala floriceps;600;2300
Anthracothorax nigricollis;0;2100
Anthracothorax prevostii;0;1100
Anthracothorax veraguensis;0;1000
Anthracothorax viridigula;0;500
Aphantochroa cirrochloris;0;950
Archilochus alexandri;0;2347
Archilochus colubris;0;2300
Atthis ellioti;900;3500
Atthis heloisa;1200;3100
Augastes lumachella;750;1600
Augastes scutatus;750;2000
Avocettula recurvirostris;0;1200
Boissonneaua flavescens;1400;3600
Boissonneaua jardini;350;2200
Boissonneaua matthewsii;1200;3300
Calliphlox amethystina;0;1500
Calliphlox bryantae;700;1900
Calliphlox mitchellii;450;2400
Calothorax lucifer;1000;2500
Calothorax pulcher;975;2250
Calypte anna;0;2500
