ID;lat;lon;r_end;r_young;r_old;r_st_young;r_st_old
26456;11.1667;-74;6;2;0;0.959;0
26457;11.1667;-73.7333;4;1;0;0.745;0
26458;11.1667;-73.4667;5;1;0;0.736;0
26459;11.1667;-73.2;4;1;0;0.745;0
26460;11.1667;-72.9333;2;1;0;0.763;0
26462;11.1667;-72.4;2;1;0;0.819;0
26495;10.9;-74;11;3;0;0.983;0
26496;10.9;-73.7333;10;2;0;0.9;0
26497;10.9;-73.4667;10;2;0;0.9;0
26498;10.9;-73.2;9;2;0;0.892;0
26499;10.9;-72.9333;3;1;0;0.52;0
26539;10.6333;-74;10;3;0;0.987;0
26540;10.6333;-73.7333;10;2;0;0.926;0
26541;10.6333;-73.4667;10;2;0;0.937;0
26542;10.6333;-73.2;5;1;0;0.698;0
26567;10.6333;-66.2667;2;0;1;0;0.648
26575;10.6333;-62.8;1;0;1;0;0.658
26576;10.6333;-62.5333;2;0;1;0;0.641
26577;10.6333;-62.2667;1;0;1;0;0.664
26599;10.3667;-74;6;2;0;0.941;0
26600;10.3667;-73.7333;5;1;0;0.682;0
26601;10.3667;-73.4667;8;2;0;0.937;0
26603;10.3667;-72.9333;9;2;0;0.843;0
26617;10.3667;-69.2;2;0;1;0;0.748
26618;10.3667;-68.9333;2;0;1;0;0.597
26619;10.3667;-68.6667;2;0;1;0;0.571
26620;10.3667;-68.4;2;0;1;0;0.595
26621;10.3667;-68.1333;2;0;1;0;0.581
26622;10.3667;-67.8667;2;0;1;0;0.616
26623;10.3667;-67.6;2;0;1;0;0.6
26624;10.3667;-67.3333;2;0;1;0;0.6
26625;10.3667;-67.0667;2;0;1;0;0.605
26626;10.3667;-66.8;2;0;1;0;0.575
26627;10.3667;-66.5333;2;0;1;0;0.574
26658;10.1;-74;3;2;0;0.974;0
26659;10.1;-73.7333;3;1;0;0.736;0
26662;10.1;-72.9333;9;2;0;0.844;0
26675;10.1;-69.2;2;0;1;0;0.566
26676;10.1;-68.9333;2;0;1;0;0.508
26677;10.1;-68.6667;2;0;1;0;0.586
26678;10.1;-68.4;2;0;1;0;0.575
26679;10.1;-68.1333;2;0;1;0;0.561
26680;10.1;-67.8667;2;0;1;0;0.655
26681;10.1;-67.6;2;0;1;0;0.599
26682;10.1;-67.3333;2;0;1;0;0.614
26683;10.1;-67.0667;2;0;1;0;0.585
26684;10.1;-66.8;2;0;1;0;0.59
26685;10.1;-66.5333;2;0;1;0;0.604
26686;10.1;-66.2667;2;0;1;0;0.582
26687;10.1;-66;2;0;1;0;0.62
26728;9.8333;-72.9333;3;1;0;0.578;0
26735;9.8333;-70.2667;3;0;2;0;0.899
26736;9.8333;-70;3;0;2;0;0.837
26737;9.8333;-69.7333;3;0;2;0;0.92
26738;9.8333;-69.4667;3;0;2;0;0.89
26792;9.5667;-73.2;2;1;0;0.665;0
26800;9.5667;-70.5333;3;0;2;0;0.894
26801;9.5667;-70.2667;3;0;2;0;0.905
26802;9.5667;-70;4;0;2;0;0.807
26803;9.5667;-69.7333;3;0;2;0;0.914
26804;9.5667;-69.4667;3;0;2;0;0.881
26865;9.3;-73.2;2;1;0;0.696;0
26873;9.3;-70.8;3;0;2;0;0.887
26874;9.3;-70.5333;3;0;2;0;0.888
26875;9.3;-70.2667;3;0;2;0;0.87
26876;9.3;-70;3;0;2;0;0.817
26877;9.3;-69.7333;3;0;2;0;0.903
26942;9.0333;-73.4667;2;1;0;0.667;0
26951;9.0333;-71.0667;6;0;2;0;0.753
26952;9.0333;-70.8;6;0;2;0;0.841
26953;9.0333;-70.5333;6;0;2;0;0.745
26954;9.0333;-70.2667;6;0;2;0;0.789
26955;9.0333;-70;2;0;1;0;0.508
27024;8.7667;-73.4667;2;1;0;0.758;0
27032;8.7667;-71.3333;6;0;2;0;0.781
27033;8.7667;-71.0667;6;0;2;0;0.838
27034;8.7667;-70.8;7;0;2;0;0.849
27035;8.7667;-70.5333;7;0;2;0;0.799
27036;8.7667;-70.2667;4;0;1;0;0.512
27105;8.5;-74.2667;1;1;0;0.765;0
27106;8.5;-74;1;1;0;0.765;0
27108;8.5;-73.4667;2;1;0;0.755;0
27109;8.5;-73.2;2;1;0;0.767;0
27114;8.5;-71.8667;2;0;1;0;0.547
27115;8.5;-71.6;4;0;2;0;0.824
27116;8.5;-71.3333;5;0;2;0;0.782
27117;8.5;-71.0667;7;0;2;0;0.729
27118;8.5;-70.8;7;0;2;0;0.798
27119;8.5;-70.5333;3;0;1;0;0.616
27188;8.2333;-74.5333;1;1;0;0.776;0
27189;8.2333;-74.2667;1;1;0;0.782;0
27190;8.2333;-74;1;1;0;0.717;0
27193;8.2333;-73.2;2;1;0;0.765;0
27194;8.2333;-72.9333;2;1;0;0.542;0
27198;8.2333;-71.8667;6;0;2;0;0.766
27199;8.2333;-71.6;6;0;2;0;0.791
27200;8.2333;-71.3333;6;0;2;0;0.769
27201;8.2333;-71.0667;7;0;2;0;0.768
27202;8.2333;-70.8;4;0;1;0;0.512
27268;7.9667;-74.5333;1;1;0;0.721;0
27269;7.9667;-74.2667;1;1;0;0.737;0
27270;7.9667;-74;1;1;0;0.706;0
27272;7.9667;-73.4667;2;1;0;0.724;0
27273;7.9667;-73.2;5;2;0;0.937;0
27274;7.9667;-72.9333;10;2;4;0.675;0.981
27276;7.9667;-72.4;5;0;3;0;0.931
27277;7.9667;-72.1333;9;1;4;0.294;0.986
27278;7.9667;-71.8667;7;0;2;0;0.734
27279;7.9667;-71.6;5;0;2;0;0.747
27280;7.9667;-71.3333;5;0;2;0;0.815
27281;7.9667;-71.0667;3;0;1;0;0.428
27352;7.7;-73.4667;1;1;0;0.796;0
27353;7.7;-73.2;2;1;0;0.745;0
27354;7.7;-72.9333;10;2;4;0.649;0.976
27355;7.7;-72.6667;7;1;3;0.377;0.925
27356;7.7;-72.4;7;1;3;0.336;0.944
27357;7.7;-72.1333;7;1;3;0.365;0.94
27358;7.7;-71.8667;4;0;2;0;0.871
27359;7.7;-71.6;1;0;1;0;0.557
27422;7.4333;-75.8667;1;1;0;0.755;0
27431;7.4333;-73.4667;1;1;0;0.799;0
27432;7.4333;-73.2;2;1;0;0.737;0
27433;7.4333;-72.9333;10;2;4;0.777;0.995
27434;7.4333;-72.6667;9;1;4;0.349;0.989
27435;7.4333;-72.4;9;1;4;0.32;0.991
27436;7.4333;-72.1333;7;1;3;0.299;0.918
27499;7.1667;-75.8667;1;1;0;0.739;0
27508;7.1667;-73.4667;1;1;0;0.755;0
27509;7.1667;-73.2;1;1;0;0.753;0
27510;7.1667;-72.9333;9;2;3;0.763;0.937
27511;7.1667;-72.6667;9;1;4;0.428;0.996
27512;7.1667;-72.4;9;1;4;0.301;0.985
27513;7.1667;-72.1333;7;1;3;0.29;0.907
27569;6.9;-76.6667;1;0;1;0;0.607
27570;6.9;-76.4;1;0;1;0;0.524
27571;6.9;-76.1333;1;0;1;0;0.498
27573;6.9;-75.6;1;1;0;0.476;0
27581;6.9;-73.4667;2;1;1;0.694;0.643
27582;6.9;-73.2;2;1;1;0.673;0.661
27583;6.9;-72.9333;9;2;3;0.682;0.903
27584;6.9;-72.6667;9;2;3;0.918;0.984
27585;6.9;-72.4;10;2;4;0.675;0.986
27586;6.9;-72.1333;8;2;3;0.701;0.916
27643;6.6333;-76.6667;1;0;1;0;0.605
27644;6.6333;-76.4;1;0;1;0;0.557
27645;6.6333;-76.1333;2;1;1;0.577;0.537
27654;6.6333;-73.7333;1;1;0;0.792;0
27655;6.6333;-73.4667;3;1;1;0.713;0.705
27656;6.6333;-73.2;2;1;1;0.724;0.709
27657;6.6333;-72.9333;7;2;2;0.789;0.744
27658;6.6333;-72.6667;9;2;3;0.854;0.975
27659;6.6333;-72.4;9;2;3;0.934;0.984
27660;6.6333;-72.1333;9;2;3;0.871;0.976
27661;6.6333;-71.8667;2;1;0;0.704;0
27718;6.3667;-76.6667;1;0;1;0;0.569
27719;6.3667;-76.4;2;1;1;0.532;0.511
27720;6.3667;-76.1333;2;1;1;0.568;0.54
27728;6.3667;-74;2;1;1;0.717;0.7
27729;6.3667;-73.7333;2;1;1;0.743;0.723
27730;6.3667;-73.4667;3;1;1;0.736;0.691
27731;6.3667;-73.2;2;1;1;0.75;0.696
27732;6.3667;-72.9333;9;2;3;0.825;0.954
27733;6.3667;-72.6667;9;2;3;0.849;0.974
27734;6.3667;-72.4;9;2;3;0.928;0.992
27735;6.3667;-72.1333;9;2;3;0.837;0.965
27736;6.3667;-71.8667;2;1;0;0.721;0
27796;6.1;-76.4;3;1;2;0.481;0.833
27797;6.1;-76.1333;3;1;2;0.583;0.902
27804;6.1;-74.2667;1;0;1;0;0.68
27805;6.1;-74;5;1;1;0.343;0.316
27806;6.1;-73.7333;5;1;1;0.409;0.377
27807;6.1;-73.4667;5;1;1;0.462;0.406
27808;6.1;-73.2;7;1;2;0.387;0.785
27809;6.1;-72.9333;9;2;3;0.864;0.973
27810;6.1;-72.6667;9;2;3;0.855;0.972
27811;6.1;-72.4;9;2;3;0.832;0.953
27812;6.1;-72.1333;7;2;2;0.734;0.739
27875;5.8333;-76.4;3;1;2;0.613;0.893
27876;5.8333;-76.1333;3;1;2;0.639;0.917
27880;5.8333;-75.0667;1;0;1;0;0.422
27883;5.8333;-74.2667;1;0;1;0;0.712
27884;5.8333;-74;5;1;1;0.369;0.35
27885;5.8333;-73.7333;6;1;2;0.469;0.803
27886;5.8333;-73.4667;7;1;2;0.458;0.825
27887;5.8333;-73.2;7;1;2;0.496;0.846
27888;5.8333;-72.9333;9;2;3;0.878;0.975
27889;5.8333;-72.6667;6;1;2;0.615;0.924
27890;5.8333;-72.4;6;1;2;0.492;0.858
27891;5.8333;-72.1333;2;0;1;0;0.556
27965;5.5667;-76.4;2;0;2;0;0.934
27966;5.5667;-76.1333;3;1;2;0.604;0.896
27970;5.5667;-75.0667;1;0;1;0;0.454
27972;5.5667;-74.5333;1;0;1;0;0.659
27973;5.5667;-74.2667;1;0;1;0;0.664
27974;5.5667;-74;6;1;2;0.353;0.718
27975;5.5667;-73.7333;6;1;2;0.59;0.879
27976;5.5667;-73.4667;7;1;2;0.54;0.858
27977;5.5667;-73.2;7;1;2;0.6;0.907
27978;5.5667;-72.9333;9;2;3;0.888;0.981
27979;5.5667;-72.6667;6;1;2;0.478;0.834
27980;5.5667;-72.4;4;1;1;0.551;0.529
28058;5.3;-76.4;2;0;2;0;0.933
28059;5.3;-76.1333;3;1;2;0.615;0.907
28063;5.3;-75.0667;1;0;1;0;0.354
28065;5.3;-74.5333;1;0;1;0;0.693
28066;5.3;-74.2667;1;0;1;0;0.655
28067;5.3;-74;6;1;2;0.322;0.718
